,batting_team,bowling_team,city,current_score,balls_left,wickets_left,crr,last_five,runs_x
36747,West Indies,Bangladesh,Mirpur,80,62,8,8.275862068965518,50.0,197
21822,Sri Lanka,West Indies,London,77,47,7,6.328767123287672,29.0,158
16701,New Zealand,England,Durban,34,77,6,4.744186046511628,18.0,164
36519,Sri Lanka,Australia,Melbourne,39,80,7,5.85,30.0,161
38265,Sri Lanka,Pakistan,Dubai,63,72,10,7.875,36.0,211
1464,West Indies,Pakistan,Dubai,96,22,2,5.877551020408164,48.0,115
49004,Sri Lanka,South Africa,Delhi,76,62,7,7.862068965517241,31.0,120
20465,Sri Lanka,West Indies,Nottingham,118,50,10,10.114285714285714,44.0,192
25016,New Zealand,Pakistan,Barbados,61,60,6,6.1,21.0,133
37338,Australia,England,Sydney,26,91,10,5.379310344827586,26.0,195
16446,South Africa,England,Cape Town,43,82,7,6.7894736842105265,35.0,154
23215,Pakistan,Sri Lanka,Colombo,142,18,5,8.352941176470589,42.0,172
32028,Bangladesh,Pakistan,Pallekele,65,77,8,9.069767441860465,43.0,175
16820,Australia,Pakistan,Johannesburg,62,82,8,9.789473684210526,53.0,164
1650,West Indies,Pakistan,Abu Dhabi,26,82,7,4.105263157894737,16.0,103
15156,South Africa,India,Johannesburg,124,1,1,6.2521008403361344,30.0,126
9246,Australia,Sri Lanka,Adelaide,80,71,10,9.795918367346939,58.0,233
36335,Australia,Pakistan,Dubai,151,19,6,8.970297029702971,39.0,168
36970,Sri Lanka,Bangladesh,Pallekele,59,86,9,10.411764705882353,45.0,198
40983,Sri Lanka,West Indies,Mirpur,49,83,8,7.945945945945946,42.0,160
8528,Pakistan,Australia,Dubai,82,52,9,7.235294117647059,32.0,147
25511,Pakistan,South Africa,St Lucia,48,63,7,5.052631578947368,30.0,148
34314,West Indies,Australia,St Lucia,55,69,8,6.470588235294118,35.0,150
36883,India,Pakistan,Bangalore,83,48,9,6.916666666666667,33.0,133
12745,Sri Lanka,Pakistan,Lahore,82,52,6,7.235294117647059,34.0,147
7363,Australia,India,Sydney,43,88,10,8.0625,37.0,164
8637,Pakistan,Australia,Dubai,69,66,10,7.666666666666667,39.0,150
